articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-10-2014,135,135,n,0,MATCH,NA
2-10-2014,106,106,n,0,MATCH,NA
2-10-2014,3.99,3.99,mean,0,MATCH,NA
2-10-2014,3.74,3.74,ci,0,MATCH,NA
2-10-2014,4.24,4.24,ci,0,MATCH,NA
2-10-2014,2.84,2.84,mean,0,MATCH,NA
2-10-2014,2.64,2.64,ci,0,MATCH,NA
2-10-2014,3.05,3.05,ci,0,MATCH,NA
2-10-2014,3.81,3.81,mean,0,MATCH,NA
2-10-2014,3.6,3.6,ci,0,MATCH,NA
2-10-2014,4.03,4.03,ci,0,MATCH,NA
2-10-2014,3.95,3.95,mean,0,MATCH,NA
2-10-2014,3.73,3.73,ci,0,MATCH,NA
2-10-2014,4.18,4.18,ci,0,MATCH,NA
2-10-2014,3.54,3.54,mean,0,MATCH,NA
2-10-2014,3.34,3.34,ci,0,MATCH,NA
2-10-2014,3.73,3.73,ci,0,MATCH,NA
2-10-2014,4.34,4.34,mean,0,MATCH,NA
2-10-2014,4.1,4.1,ci,0,MATCH,NA
2-10-2014,4.58,4.58,ci,0,MATCH,NA
2-10-2014,3.25,3.25,mean,0,MATCH,NA
2-10-2014,3.06,3.06,ci,0,MATCH,NA
2-10-2014,3.44,3.44,ci,0,MATCH,NA
2-10-2014,4.04,4.04,mean,0,MATCH,NA
2-10-2014,3.84,3.84,ci,0,MATCH,NA
2-10-2014,4.23,4.23,ci,0,MATCH,NA
2-10-2014,4.19,4.19,mean,0,MATCH,NA
2-10-2014,4,4,ci,0,MATCH,NA
2-10-2014,4.38,4.38,ci,0,MATCH,NA
2-10-2014,3.82,3.82,mean,0,MATCH,NA
2-10-2014,3.65,3.65,ci,0,MATCH,NA
2-10-2014,4,4,ci,0,MATCH,NA
2-10-2014,0.35,0.35,mean,0,MATCH,NA
2-10-2014,0.11,0.11,ci,0,MATCH,NA
2-10-2014,0.59,0.59,ci,0,MATCH,NA
2-10-2014,0.4,0.4,mean,0,MATCH,NA
2-10-2014,0.19,0.19,ci,0,MATCH,NA
2-10-2014,0.62,0.62,ci,0,MATCH,NA
2-10-2014,0.22,0.22,mean,0,MATCH,NA
2-10-2014,0.03,0.03,ci,0,MATCH,NA
2-10-2014,0.42,0.42,ci,0,MATCH,NA
2-10-2014,0.23,0.23,mean,0,MATCH,NA
2-10-2014,0.02,0.02,ci,0,MATCH,NA
2-10-2014,0.45,0.45,ci,0,MATCH,NA
2-10-2014,0.29,0.29,mean,0,MATCH,NA
2-10-2014,0.1,0.1,ci,0,MATCH,NA
2-10-2014,0.47,0.47,ci,0,MATCH,NA
2-10-2014,0.005,0.005,p,0,MATCH,NA
2-10-2014,2.88,2.88,t,0,MATCH,NA
2-10-2014,0.35,0.35,mean,0,MATCH,NA
2-10-2014,0.27,0.27,d,0,MATCH,NA
2-10-2014,<0.001,0.0003701906,p,NA,MATCH,TRUE
2-10-2014,0.02,0.02,p,0,MATCH,NA
2-10-2014,0.03,0.03,p,0,MATCH,NA
2-10-2014,0.003,0.003,p,0,MATCH,NA
2-10-2014,3.1,3.1,t,0,MATCH,NA
2-10-2014,0.29,0.29,mean,0,MATCH,NA
2-10-2014,0.29,0.3,d,3.448275862068969,MINOR_ERROR,NA
